region,iso_3166_2,migrants
Alberta,CA-AB,"1,065"
British Columbia,CA-BC,"1,175"
Saskatchewan,CA-SK,71
Manitoba,CA-MB,108
Ontario,CA-ON,"12,222"
Québec,CA-QC,"4,695"
Newfoundland and Labrador,CA-NL,33.75
Prince Edward Island,CA-PE,33.75
Nova Scotia,CA-NS,33.75
New Brunswick,CA-NB,33.75
Yukon,CA-YT,0.66
Northwest Territories,CA-NT,0.66
Nunavut,CA-NU,0.66
